,Unnamed: 0, Rank,Sales,Profits,Assets,Market Value
260,,261,15.2,3.2,37.4,71.2
261,,262,16.1,3.4,51.0,32.6
262,,263,20.0,1.7,68.7,31.2
263,,264,54.1,1.7,37.3,30.0
264,,265,14.2,2.4,327.6,20.0
265,,266,31.3,1.4,44.1,41.6
266,,267,15.1,2.3,90.2,26.9
267,,268,43.2,1.5,46.2,28.0
268,,269,36.6,2.3,45.4,22.3
269,,270,16.5,3.0,38.7,43.9
270,,271,48.7,2.5,28.2,29.4
271,,272,35.7,3.8,20.1,77.8
272,,273,23.0,1.7,85.1,20.3
273,,274,10.6,2.1,242.7,30.1
274,,275,35.3,1.5,44.7,28.6
275,,276,25.7,3.5,21.2,112.1
276,,277,53.9,0.894,49.2,37.0
277,,278,39.1,1.9,34.1,29.9
278,,279,30.7,2.4,31.9,31.7
279,,280,17.7,1.4,70.9,34.0
280,,281,127.2,1.4,35.0,26.0
281,,282,18.6,4.1,30.2,40.7
282,,283,11.4,2.1,71.6,48.7
283,,284,14.8,1.5,369.1,21.2
284,,285,24.1,2.2,30.1,44.9
285,,286,20.7,2.3,30.0,52.0
286,,287,56.0,1.2,44.4,26.4
287,,288,16.6,1.8,41.1,49.1
288,,289,59.8,1.9,48.2,16.9
289,,290,41.2,1.7,39.5,24.9
290,,291,62.4,1.3,39.8,25.6
291,,292,30.7,1.2,428.1,13.8
292,,293,14.6,1.5,556.7,19.1
293,,294,13.5,3.0,203.2,16.6
294,,295,39.2,0.896,42.5,46.5
295,,296,16.4,2.3,37.4,40.5
296,,297,24.5,2.2,28.0,41.7
297,,298,29.2,3.8,23.4,35.8
298,,299,45.8,1.1,66.0,19.2
299,,300,21.0,2.0,74.3,18.1
300,,301,8.6,2.5,283.7,28.8
301,,302,13.5,1.8,312.0,17.9
302,,303,7.6,1.9,223.4,53.3
303,,304,45.3,0.552,101.5,40.4
304,,305,13.9,7.8,60.9,18.5
305,,306,29.4,1.7,91.1,14.4
306,,307,25.6,1.5,49.7,21.7
307,,308,19.4,1.9,42.7,27.4
308,,309,10.9,2.1,236.3,20.7
309,,310,11.9,1.6,138.9,25.1
310,,311,22.4,2.0,68.3,16.6
311,,312,33.0,2.6,34.5,18.9
312,,313,8.7,2.2,308.2,25.6
313,,314,27.1,1.6,34.1,28.9
314,,315,148.3,1.3,33.9,19.0
315,,316,23.0,1.7,42.1,23.0
316,,317,30.1,1.4,33.3,29.0
317,,318,10.5,2.4,92.8,25.3
318,,319,18.2,2.1,32.8,32.2
319,,320,14.3,2.3,33.4,42.7
320,,321,11.0,1.2,367.0,25.7
321,,322,19.7,1.9,30.4,33.4
322,,323,15.4,1.5,196.5,16.1
323,,324,38.2,1.1,67.7,16.8
324,,325,8.9,1.9,204.9,27.2
325,,326,32.8,1.2,99.6,14.3
326,,327,13.4,2.3,169.0,14.7
327,,328,21.5,1.6,50.1,19.8
328,,329,14.5,2.5,55.1,19.8
329,,330,55.0,0.918,38.3,26.0
330,,331,11.9,2.8,33.0,45.2
331,,332,8.2,2.2,235.4,25.6
332,,333,29.8,2.8,22.7,27.3
333,,334,12.1,1.7,40.0,45.9
